trade_n,timestamp,cash
1,2026-02-25T03:02:55.274154+00:00,1001.76
2,2026-02-25T03:02:55.627845+00:00,1003.92
3,2026-02-25T03:02:55.976868+00:00,994.32
4,2026-02-25T03:02:56.324903+00:00,984.36
5,2026-02-25T03:02:57.012857+00:00,986.64
6,2026-02-25T03:02:57.700880+00:00,988.68
7,2026-02-25T03:02:58.053201+00:00,990.44
8,2026-02-25T03:02:58.745891+00:00,992.48
9,2026-02-25T03:02:59.449874+00:00,994.64
10,2026-02-25T03:02:59.804999+00:00,996.68
11,2026-02-25T03:03:00.174384+00:00,998.72
12,2026-02-25T03:03:00.529454+00:00,1000.48
13,2026-02-25T03:03:00.882297+00:00,1002.52
14,2026-02-25T03:03:01.567817+00:00,1004.68
15,2026-02-25T03:03:01.926026+00:00,1007.08
16,2026-02-25T03:03:02.616128+00:00,1008.84
17,2026-02-25T03:03:03.308419+00:00,999.12
18,2026-02-25T03:03:04.325265+00:00,1001.28
19,2026-02-25T03:03:04.675888+00:00,1003.32
20,2026-02-25T03:03:05.026647+00:00,1005.36
21,2026-02-25T03:03:05.373872+00:00,1007.52
22,2026-02-25T03:03:05.718278+00:00,1009.56
23,2026-02-25T03:03:06.066814+00:00,1011.72
24,2026-02-25T03:03:07.078915+00:00,1002.0
25,2026-02-25T03:03:07.424554+00:00,1004.28
26,2026-02-25T03:03:07.772201+00:00,1006.32
27,2026-02-25T03:03:08.168665+00:00,1008.72
28,2026-02-25T03:03:08.519026+00:00,1010.76
29,2026-02-25T03:03:09.270767+00:00,1012.52
30,2026-02-25T03:03:09.623504+00:00,1014.92
31,2026-02-25T03:03:10.306602+00:00,1017.2
32,2026-02-25T03:03:10.655005+00:00,1018.96
33,2026-02-25T03:03:11.679248+00:00,1020.72
34,2026-02-25T03:03:12.059496+00:00,1023.12
35,2026-02-25T03:03:13.429116+00:00,1025.28
36,2026-02-25T03:03:14.115501+00:00,1027.44
37,2026-02-25T03:03:14.461102+00:00,1029.72
38,2026-02-25T03:03:14.839218+00:00,1020.48
39,2026-02-25T03:03:15.188874+00:00,1022.76
40,2026-02-25T03:03:15.532824+00:00,1024.92
41,2026-02-25T03:03:15.881067+00:00,1026.96
42,2026-02-25T03:03:16.225052+00:00,1028.72
43,2026-02-25T03:03:16.573418+00:00,1030.88
44,2026-02-25T03:03:16.919607+00:00,1033.16
45,2026-02-25T03:03:17.268334+00:00,1035.2
46,2026-02-25T03:03:17.616631+00:00,1025.96
47,2026-02-25T03:03:18.626173+00:00,1028.24
48,2026-02-25T03:03:18.974447+00:00,1030.52
49,2026-02-25T03:03:19.659181+00:00,1032.68
50,2026-02-25T03:03:20.007170+00:00,1034.96
51,2026-02-25T03:03:20.357839+00:00,1037.36
52,2026-02-25T03:03:20.708232+00:00,1027.64
