trade_n,timestamp,market_ticker,action,side,yes_price,entry_price_cents,qty,cost,result,payout,pnl,cash,note
1,2026-02-25T03:02:55.274154+00:00,KXNBASGPROP-23OCT18LUKA-PTS30,BET_NO,NO,16,84,11,9.24,no,11.0,1.76,1001.76,won
2,2026-02-25T03:02:55.627845+00:00,KXNBASGPROP-23OCT18LUKA-AST10,BET_NO,NO,18,82,12,9.84,no,12.0,2.16,1003.92,won
3,2026-02-25T03:02:55.976868+00:00,KXNBASGPROP-23OCT25LUKA-AST10,BET_NO,NO,20,80,12,9.6,yes,0.0,-9.6,994.32,lost
4,2026-02-25T03:02:56.324903+00:00,KXNBASGPROP-23OCT25DURANT-AST10,BET_NO,NO,17,83,12,9.96,yes,0.0,-9.96,984.36,lost
5,2026-02-25T03:02:57.012857+00:00,KXNBASGPROP-23OCT25LUKA-PTS30,BET_NO,NO,19,81,12,9.72,no,12.0,2.28,986.64,won
6,2026-02-25T03:02:57.700880+00:00,KXNBASGPROP-23NOV01LILLARD-PTS30,BET_NO,NO,17,83,12,9.96,no,12.0,2.04,988.68,won
7,2026-02-25T03:02:58.053201+00:00,KXNBASGPROP-23NOV01LILLARD-AST10,BET_NO,NO,16,84,11,9.24,no,11.0,1.76,990.44,won
8,2026-02-25T03:02:58.745891+00:00,KXNBASGPROP-23NOV01CURRY-PTS30,BET_NO,NO,17,83,12,9.96,no,12.0,2.04,992.48,won
9,2026-02-25T03:02:59.449874+00:00,KXNBASGPROP-23NOV08DURANT-AST10,BET_NO,NO,18,82,12,9.84,no,12.0,2.16,994.64,won
10,2026-02-25T03:02:59.804999+00:00,KXNBASGPROP-23NOV08TATUM-PTS30,BET_NO,NO,17,83,12,9.96,no,12.0,2.04,996.68,won
11,2026-02-25T03:03:00.174384+00:00,KXNBASGPROP-23NOV08LUKA-AST10,BET_NO,NO,17,83,12,9.96,no,12.0,2.04,998.72,won
12,2026-02-25T03:03:00.529454+00:00,KXNBASGPROP-23NOV08TATUM-AST10,BET_NO,NO,16,84,11,9.24,no,11.0,1.76,1000.48,won
13,2026-02-25T03:03:00.882297+00:00,KXNBASGPROP-23NOV08LILLARD-PTS30,BET_NO,NO,17,83,12,9.96,no,12.0,2.04,1002.52,won
14,2026-02-25T03:03:01.567817+00:00,KXNBASGPROP-23NOV15TATUM-PTS30,BET_NO,NO,18,82,12,9.84,no,12.0,2.16,1004.68,won
15,2026-02-25T03:03:01.926026+00:00,KXNBASGPROP-23NOV22CURRY-AST10,BET_NO,NO,20,80,12,9.6,no,12.0,2.4,1007.08,won
16,2026-02-25T03:03:02.616128+00:00,KXNBASGPROP-23NOV22CURRY-PTS30,BET_NO,NO,16,84,11,9.24,no,11.0,1.76,1008.84,won
17,2026-02-25T03:03:03.308419+00:00,KXNBASGPROP-23NOV22TATUM-PTS30,BET_NO,NO,19,81,12,9.72,yes,0.0,-9.72,999.12,lost
18,2026-02-25T03:03:04.325265+00:00,KXNBASGPROP-23NOV29LILLARD-AST10,BET_NO,NO,18,82,12,9.84,no,12.0,2.16,1001.28,won
19,2026-02-25T03:03:04.675888+00:00,KXNBASGPROP-23NOV29LEBRON-PTS30,BET_NO,NO,17,83,12,9.96,no,12.0,2.04,1003.32,won
20,2026-02-25T03:03:05.026647+00:00,KXNBASGPROP-23NOV29LUKA-PTS30,BET_NO,NO,17,83,12,9.96,no,12.0,2.04,1005.36,won
21,2026-02-25T03:03:05.373872+00:00,KXNBASGPROP-23DEC06LILLARD-PTS30,BET_NO,NO,18,82,12,9.84,no,12.0,2.16,1007.52,won
22,2026-02-25T03:03:05.718278+00:00,KXNBASGPROP-23DEC06JOKIC-AST10,BET_NO,NO,17,83,12,9.96,no,12.0,2.04,1009.56,won
23,2026-02-25T03:03:06.066814+00:00,KXNBASGPROP-23DEC06EMBIID-PTS30,BET_NO,NO,18,82,12,9.84,no,12.0,2.16,1011.72,won
24,2026-02-25T03:03:07.078915+00:00,KXNBASGPROP-23DEC13CURRY-PTS30,BET_NO,NO,19,81,12,9.72,yes,0.0,-9.72,1002.0,lost
25,2026-02-25T03:03:07.424554+00:00,KXNBASGPROP-23DEC13LILLARD-PTS30,BET_NO,NO,19,81,12,9.72,no,12.0,2.28,1004.28,won
26,2026-02-25T03:03:07.772201+00:00,KXNBASGPROP-23DEC13CURRY-AST10,BET_NO,NO,17,83,12,9.96,no,12.0,2.04,1006.32,won
27,2026-02-25T03:03:08.168665+00:00,KXNBASGPROP-23DEC13JOKIC-PTS30,BET_NO,NO,20,80,12,9.6,no,12.0,2.4,1008.72,won
28,2026-02-25T03:03:08.519026+00:00,KXNBASGPROP-23DEC13LILLARD-AST10,BET_NO,NO,17,83,12,9.96,no,12.0,2.04,1010.76,won
29,2026-02-25T03:03:09.270767+00:00,KXNBASGPROP-23DEC20LUKA-AST10,BET_NO,NO,16,84,11,9.24,no,11.0,1.76,1012.52,won
30,2026-02-25T03:03:09.623504+00:00,KXNBASGPROP-23DEC20EMBIID-AST10,BET_NO,NO,20,80,12,9.6,no,12.0,2.4,1014.92,won
31,2026-02-25T03:03:10.306602+00:00,KXNBASGPROP-23DEC20CURRY-AST10,BET_NO,NO,19,81,12,9.72,no,12.0,2.28,1017.2,won
